class,count
org.apache.derby.shared.common.info.ProductVersionHolder,2
org.apache.derby.tools.SignatureChecker,2
org.apache.derby.vti.ForeignTableVTI,2
org.apache.derby.vti.ForwardingVTI,2
org.apache.derbyBuild.MessageBuilder$XMLWriter,2
org.apache.derbyBuild.MessageVetter,2
org.apache.derbyBuild.javadoc.DiskLayoutTaglet,2
org.apache.derbyBuild.javadoc.FormatIdTaglet,2
org.apache.derbyBuild.javadoc.PurposeTaglet,2
org.apache.derbyBuild.javadoc.UpgradeTaglet,2
org.apache.derbyBuild.maintversion2props,2
org.apache.derbyBuild.splitmessages,2
org.osgi.framework.BundlePermission,2
org.osgi.framework.InvalidSyntaxException,2
org.osgi.framework.PackagePermission,2
org.osgi.framework.ServicePermission,2
org.apache.derby.catalog.TriggerOldTransitionRows,1
org.apache.derby.catalog.types.AggregateAliasInfo,1
org.apache.derby.catalog.types.BaseTypeIdImpl,1
org.apache.derby.catalog.types.OldRoutineType,1
org.apache.derby.catalog.types.RoutineAliasInfo,1
org.apache.derby.catalog.types.UDTAliasInfo,1
org.apache.derby.client.BasicClientDataSource$2,1
