class,method_name,count
org.apache.phoenix.compile.GroupByCompiler$GroupBy,getOrderPreservingTrackInfos,1
org.apache.phoenix.compile.GroupByCompiler$GroupBy$GroupByBuilder,setExpressions,1
org.apache.phoenix.compile.GroupByCompiler$GroupBy$GroupByBuilder,setKeyExpressions,1
org.apache.phoenix.compile.GroupByCompiler$GroupBy$GroupByBuilder,setOrderPreservingTrackInfos,1
org.apache.phoenix.compile.IndexStatementRewriter,&lt;init&gt;,1
org.apache.phoenix.compile.JoinCompiler$JoinSpec,&lt;init&gt;,1
org.apache.phoenix.compile.JoinCompiler$JoinSpec,getDependentTableRefs,1
org.apache.phoenix.compile.JoinCompiler$JoinSpec,getOnConditions,1
org.apache.phoenix.compile.JoinCompiler$JoinSpec,getRhsJoinTable,1
org.apache.phoenix.compile.JoinCompiler$JoinSpec,getCommonType,1
org.apache.phoenix.compile.JoinCompiler$JoinTable,getAllTableRefs,1
org.apache.phoenix.compile.JoinCompiler$JoinTable,getAllTables,1
org.apache.phoenix.compile.JoinCompiler$JoinTable,getJoinSpecs,1
org.apache.phoenix.compile.JoinCompiler$JoinTable,getLeftTable,1
org.apache.phoenix.compile.JoinCompiler$JoinTable,getPrefilterAcceptedJoinSpecs,1
org.apache.phoenix.compile.JoinCompiler$LocalIndexColumnRef,equals,1
org.apache.phoenix.compile.JoinCompiler$Table,&lt;init&gt;,1
org.apache.phoenix.compile.JoinCompiler$Table,getDynamicColumns,1
org.apache.phoenix.compile.JoinCompiler$Table,getPostFilterParseNodes,1
org.apache.phoenix.compile.JoinCompiler$Table,getPreFilterParseNodes,1
org.apache.phoenix.compile.JoinCompiler$Table,getTableRef,1
org.apache.phoenix.compile.ListJarsQueryPlan,getContext,1
org.apache.phoenix.compile.ListJarsQueryPlan,&lt;init&gt;,1
org.apache.phoenix.compile.OpenStatementCompiler,&lt;init&gt;,1
org.apache.phoenix.compile.PostDDLCompiler,&lt;init&gt;,1
org.apache.phoenix.compile.PostIndexDDLCompiler,getDataColumnNames,1
org.apache.phoenix.compile.PostIndexDDLCompiler,getIndexColumnNames,1
org.apache.phoenix.compile.PostLocalIndexDDLCompiler,&lt;init&gt;,1
org.apache.phoenix.compile.ScanRanges,getSlotSpans,1
org.apache.phoenix.compile.SequenceManager,&lt;init&gt;,1
org.apache.phoenix.compile.SequenceManager$SequenceTuple,&lt;init&gt;,1
org.apache.phoenix.compile.SequenceValueExpression,getNumToAllocateExpressions,1
org.apache.phoenix.compile.ServerBuildIndexCompiler,&lt;init&gt;,1
org.apache.phoenix.compile.ServerBuildTransformingTableCompiler,compile,1
org.apache.phoenix.compile.StatementContext,setClientSideUpsertSelect,1
org.apache.phoenix.compile.StatementContext,setUncoveredIndex,1
org.apache.phoenix.compile.StatementContext,getAggregationManager,1
org.apache.phoenix.compile.StatementContext,getBindManager,1
org.apache.phoenix.compile.StatementContext,getCDCDataTableRef,1
org.apache.phoenix.compile.StatementContext,getCDCTableRef,1
org.apache.phoenix.compile.StatementContext,getConnection,1
org.apache.phoenix.compile.StatementContext,getCurrentTable,1
org.apache.phoenix.compile.StatementContext,getExpressionManager,1
org.apache.phoenix.compile.StatementContext,getReadMetricsQueue,1
org.apache.phoenix.compile.StatementContext,getScanRanges,1
org.apache.phoenix.compile.StatementContext,getSequenceManager,1
org.apache.phoenix.compile.StatementContext,getStatement,1
org.apache.phoenix.compile.StatementContext,getSubStatementContexts,1
org.apache.phoenix.compile.StatementContext,getWhereConditionColumns,1
org.apache.phoenix.compile.StatementContext,setCDCDataTableRef,1
org.apache.phoenix.compile.StatementContext,setCDCTableRef,1
org.apache.phoenix.compile.StatementContext,setCurrentTable,1
org.apache.phoenix.compile.StatementContext,setScanRanges,1
org.apache.phoenix.compile.SubqueryRewriter$JoinConditionExtractor,&lt;init&gt;,1
org.apache.phoenix.compile.TraceQueryPlan,getContext,1
org.apache.phoenix.compile.TraceQueryPlan,&lt;init&gt;,1
org.apache.phoenix.compile.UpsertCompiler,&lt;init&gt;,1
org.apache.phoenix.compile.UpsertCompiler$ServerUpsertSelectMutationPlan,getTargetRef,1
