class,method,count
org.apache.tools.ant.taskdefs.Concat,setIgnoreEmpty,1
org.apache.tools.ant.taskdefs.Concat,addFooter,1
org.apache.tools.ant.taskdefs.Concat,addHeader,1
org.apache.tools.ant.taskdefs.Concat,setDest,1
org.apache.tools.ant.taskdefs.Concat,setWriter,1
org.apache.tools.ant.taskdefs.Concat$1,getReader,1
org.apache.tools.ant.taskdefs.Concat$ConcatResource,equals,1
org.apache.tools.ant.taskdefs.Concat$TextElement,setFile,1
org.apache.tools.ant.taskdefs.Copy,&lt;clinit&gt;,1
org.apache.tools.ant.taskdefs.Copy,createMapper,1
org.apache.tools.ant.taskdefs.CopyPath,createPath,1
org.apache.tools.ant.taskdefs.CopyPath,add,1
org.apache.tools.ant.taskdefs.CopyPath,NOVALUE,1
org.apache.tools.ant.taskdefs.Definer,NOVALUE,1
org.apache.tools.ant.taskdefs.Definer,execute,1
org.apache.tools.ant.taskdefs.Definer$OnError,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Delete,execute,1
org.apache.tools.ant.taskdefs.Deltree,removeDir,1
org.apache.tools.ant.taskdefs.DependSet,setVerbose,1
org.apache.tools.ant.taskdefs.DependSet,createSources,1
org.apache.tools.ant.taskdefs.DependSet,createTargets,1
org.apache.tools.ant.taskdefs.Echo,setOutput,1
org.apache.tools.ant.taskdefs.Echo,NOVALUE,1
org.apache.tools.ant.taskdefs.EchoXML,setNamespacePolicy,1
org.apache.tools.ant.taskdefs.EchoXML$NamespacePolicy,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Exec,run,1
org.apache.tools.ant.taskdefs.Exec$StreamPumper,pumpStream,1
org.apache.tools.ant.taskdefs.Exec$StreamPumper,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.ExecTask,addConfiguredRedirector,1
org.apache.tools.ant.taskdefs.ExecTask,setCommand,1
org.apache.tools.ant.taskdefs.Execute,setExitValue,1
org.apache.tools.ant.taskdefs.Execute,setNewenvironment,1
org.apache.tools.ant.taskdefs.Execute,setVMLauncher,1
org.apache.tools.ant.taskdefs.Execute,toString,1
org.apache.tools.ant.taskdefs.Execute,getCommandline,1
org.apache.tools.ant.taskdefs.Execute,setAntRun,1
org.apache.tools.ant.taskdefs.Execute,setCommandline,1
