class,method_name,count
org.apache.maven.api.plugin.descriptor.lifecycle.Lifecycle,getPhases,1
org.apache.maven.api.plugin.descriptor.lifecycle.Lifecycle$Builder,phases,1
org.apache.maven.api.plugin.descriptor.lifecycle.Lifecycle$Builder,&lt;init&gt;,1
org.apache.maven.api.plugin.descriptor.lifecycle.LifecycleConfiguration,getLifecycles,1
org.apache.maven.api.plugin.descriptor.lifecycle.LifecycleConfiguration$Builder,lifecycles,1
org.apache.maven.api.plugin.descriptor.lifecycle.LifecycleConfiguration$Builder,&lt;init&gt;,1
org.apache.maven.api.plugin.descriptor.lifecycle.Phase,getExecutions,1
org.apache.maven.api.plugin.descriptor.lifecycle.Phase$Builder,executions,1
org.apache.maven.api.plugin.descriptor.lifecycle.Phase$Builder,&lt;init&gt;,1
org.apache.maven.api.services.ArtifactCoordinateFactoryRequest$ArtifactFactoryRequestBuilder,session,1
org.apache.maven.api.services.ArtifactDeployerRequest$ArtifactDeployerRequestBuilder,artifacts,1
org.apache.maven.api.services.ArtifactDeployerRequest$ArtifactDeployerRequestBuilder,session,1
org.apache.maven.api.services.ArtifactFactoryRequest$ArtifactFactoryRequestBuilder,session,1
org.apache.maven.api.services.ArtifactInstallerRequest$ArtifactInstallerRequestBuilder,session,1
org.apache.maven.api.services.ArtifactResolverRequest$ArtifactResolverRequestBuilder,coordinates,1
org.apache.maven.api.services.ArtifactResolverRequest$ArtifactResolverRequestBuilder,session,1
org.apache.maven.api.services.BaseRequest,&lt;init&gt;,1
org.apache.maven.api.services.DependencyCollectorRequest$DependencyCollectorRequestBuilder,session,1
org.apache.maven.api.services.DependencyCoordinateFactoryRequest$DependencyCoordinateFactoryRequestBuilder,session,1
org.apache.maven.api.services.DependencyResolverRequest$DependencyResolverRequestBuilder$DefaultDependencyResolverRequest,&lt;init&gt;,1
org.apache.maven.api.services.ModelBuilderRequest$ModelBuilderRequestBuilder,activeProfileIds,1
org.apache.maven.api.services.ModelBuilderRequest$ModelBuilderRequestBuilder,inactiveProfileIds,1
org.apache.maven.api.services.ModelBuilderRequest$ModelBuilderRequestBuilder,profiles,1
org.apache.maven.api.services.ModelBuilderRequest$ModelBuilderRequestBuilder,session,1
org.apache.maven.api.services.ModelBuilderRequest$ModelBuilderRequestBuilder,systemProperties,1
