class,count
org.apache.maven.project.artifact.ProjectArtifact,3
org.apache.maven.repository.legacy.DefaultWagonManager,3
org.apache.maven.repository.metadata.ClasspathContainer,3
org.apache.maven.repository.metadata.MetadataGraphVertex,3
org.apache.maven.repository.metadata.MetadataResolutionResult,3
org.apache.maven.toolchain.building.DefaultToolchainsBuildingResult,3
org.apache.maven.toolchain.model.ToolchainModel,3
org.apache.maven.usability.plugin.ExpressionDocumentation,3
org.apache.maven.artifact.repository.metadata.SnapshotArtifactRepositoryMetadata,2
org.apache.maven.artifact.resolver.AbstractArtifactResolutionException,2
org.apache.maven.artifact.resolver.CyclicDependencyException,2
org.apache.maven.bridge.MavenRepositorySystem,2
org.apache.maven.building.UrlSource,2
org.apache.maven.cli.internal.extension.model.CoreExtensions,2
org.apache.maven.exception.ExceptionSummary,2
org.apache.maven.execution.BuildFailure,2
org.apache.maven.lifecycle.DefaultLifecycles,2
org.apache.maven.lifecycle.internal.ExecutionPlanItem,2
org.apache.maven.lifecycle.internal.ProjectIndex,2
org.apache.maven.lifecycle.internal.ReactorContext,2
org.apache.maven.lifecycle.mapping.LifecycleMojo,2
org.apache.maven.lifecycle.mapping.LifecyclePhase,2
org.apache.maven.model.Build,2
org.apache.maven.model.PluginConfiguration,2
org.apache.maven.model.PluginExecution,2
org.apache.maven.model.ReportSet,2
org.apache.maven.model.building.DefaultModelBuilder,2
org.apache.maven.model.building.DefaultModelProblem,2
org.apache.maven.model.superpom.DefaultSuperPomProvider,2
org.apache.maven.plugin.AbstractMojo,2
org.apache.maven.plugin.CycleDetectedInPluginGraphException,2
org.apache.maven.plugin.DefaultBuildPluginManager,2
org.apache.maven.plugin.ExtensionRealmCache$CacheRecord,2
org.apache.maven.plugin.MavenPluginValidator,2
org.apache.maven.plugin.PluginParameterException,2
org.apache.maven.plugin.PluginParameterExpressionEvaluator,2
org.apache.maven.plugin.PluginRealmCache$CacheRecord,2
org.apache.maven.plugin.PluginResolutionException,2
org.apache.maven.plugin.descriptor.MojoDescriptor,2
org.apache.maven.plugin.lifecycle.Execution,2
org.apache.maven.plugin.lifecycle.Lifecycle,2
org.apache.maven.plugin.lifecycle.LifecycleConfiguration,2
org.apache.maven.plugin.lifecycle.Phase,2
org.apache.maven.plugin.prefix.DefaultPluginPrefixRequest,2
org.apache.maven.plugin.version.DefaultPluginVersionRequest,2
org.apache.maven.profiles.RepositoryBase,2
org.apache.maven.project.DefaultDependencyResolutionRequest,2
org.apache.maven.project.ExtensionDescriptor,2
org.apache.maven.project.InvalidProjectModelException,2
org.apache.maven.project.ProjectBuildingException,2
org.apache.maven.project.ProjectModelResolver,2
org.apache.maven.project.artifact.ActiveProjectArtifact,2
