class,method,count
org.apache.maven.artifact.resolver.ArtifactResolutionResult,getArtifacts,1
org.apache.maven.artifact.resolver.ArtifactResolutionResult,getOriginatingArtifact,1
org.apache.maven.artifact.resolver.ArtifactResolutionResult,setArtifactResolutionNodes,1
org.apache.maven.artifact.resolver.ArtifactResolutionResult,setArtifacts,1
org.apache.maven.artifact.resolver.ArtifactResolutionResult,setOriginatingArtifact,1
org.apache.maven.artifact.resolver.ArtifactResolutionResult,setRepositories,1
org.apache.maven.artifact.resolver.ArtifactResolutionResult,setUnresolvedArtifacts,1
org.apache.maven.artifact.resolver.CyclicDependencyException,getArtifact,1
org.apache.maven.artifact.resolver.CyclicDependencyException,&lt;init&gt;,1
org.apache.maven.artifact.resolver.MultipleArtifactsNotFoundException,getMissingArtifacts,1
org.apache.maven.artifact.resolver.MultipleArtifactsNotFoundException,getResolvedArtifacts,1
org.apache.maven.artifact.resolver.ResolutionNode,getArtifact,1
org.apache.maven.artifact.resolver.ResolutionNode,getRemoteRepositories,1
org.apache.maven.artifact.resolver.ResolutionNode,setArtifact,1
org.apache.maven.artifact.resolver.UnresolvedArtifacts,getArtifacts,1
org.apache.maven.artifact.resolver.UnresolvedArtifacts,getOriginatingArtifact,1
org.apache.maven.artifact.resolver.UnresolvedArtifacts,getRemoteRepositories,1
org.apache.maven.artifact.resolver.WarningResolutionListener,NOVALUE,1
org.apache.maven.artifact.resolver.filter.CumulativeScopeArtifactFilter,getScopes,1
org.apache.maven.artifact.resolver.filter.ExclusionArtifactFilter,&lt;init&gt;,1
org.apache.maven.artifact.resolver.filter.ExclusionSetFilter,&lt;init&gt;,1
org.apache.maven.artifact.resolver.filter.IncludesArtifactFilter,include,1
org.apache.maven.artifact.versioning.ComparableVersion$IntItem,&lt;init&gt;,1
org.apache.maven.artifact.versioning.ComparableVersion$ListItem,compareTo,1
org.apache.maven.artifact.versioning.ComparableVersion$LongItem,&lt;init&gt;,1
org.apache.maven.artifact.versioning.ManagedVersionMap,toString,1
org.apache.maven.artifact.versioning.VersionRange,getRestrictions,1
org.apache.maven.building.FileSource,equals,1
org.apache.maven.building.StringSource,equals,1
org.apache.maven.classrealm.DefaultClassRealmManager,&lt;init&gt;,1
org.apache.maven.cli.CLIManager,displayHelp,1
org.apache.maven.cli.CleanArgument,cleanArgs,1
org.apache.maven.cli.CliRequest,getArgs,1
org.apache.maven.cli.CliRequest,getRequest,1
org.apache.maven.cli.CliRequest,getSystemProperties,1
org.apache.maven.cli.CliRequest,getUserProperties,1
org.apache.maven.cli.MavenCli,cli,1
org.apache.maven.cli.MavenCli,logging,1
org.apache.maven.cli.event.DefaultEventSpyContext,getData,1
org.apache.maven.cli.event.ExecutionEventLogger,sessionStarted,1
org.apache.maven.cli.internal.extension.model.CoreExtensions,getExtensions,1
org.apache.maven.cli.internal.extension.model.CoreExtensions,setExtensions,1
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,getDoubleValue,1
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,getFloatValue,1
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,getIntegerValue,1
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,getLongValue,1
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,getBooleanValue,1
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,getDateValue,1
org.apache.maven.cli.logging.impl.UnsupportedSlf4jBindingConfiguration,NOVALUE,1
org.apache.maven.eventspy.internal.EventSpyDispatcher,getEventSpies,1
org.apache.maven.exception.ExceptionSummary,getException,1
org.apache.maven.exception.ExceptionSummary,&lt;init&gt;,1
org.apache.maven.execution.BuildFailure,getCause,1
org.apache.maven.execution.BuildFailure,&lt;init&gt;,1
org.apache.maven.execution.BuildResumptionData,getRemainingProjects,1
org.apache.maven.execution.BuildResumptionData,&lt;init&gt;,1
