class,count
org.apache.cassandra.service.paxos.uncommitted.PaxosUncommittedIndex,3
org.apache.cassandra.service.paxos.v1.PrepareCallback,3
org.apache.cassandra.service.reads.ResponseResolver,3
org.apache.cassandra.service.reads.repair.AbstractReadRepair,3
org.apache.cassandra.service.snapshot.TakeSnapshotTask,3
org.apache.cassandra.simulator.asm.ShadowingTransformer,3
org.apache.cassandra.streaming.StreamSession,3
org.apache.cassandra.streaming.messages.StreamMessageHeader,3
org.apache.cassandra.stress.CompactionStress,3
org.apache.cassandra.stress.generate.PartitionGenerator,3
org.apache.cassandra.stress.settings.SettingsCommandPreDefined,3
org.apache.cassandra.stress.settings.SettingsLog,3
org.apache.cassandra.tcm.StubClusterMetadataService,3
org.apache.cassandra.tcm.log.LocalLog,3
org.apache.cassandra.tcm.ownership.DataPlacements,3
org.apache.cassandra.tcm.sequences.InProgressSequences,3
org.apache.cassandra.tcm.sequences.Move,3
org.apache.cassandra.tools.BulkLoader$ProgressIndicator,3
org.apache.cassandra.tools.JMXTool$Operation,3
org.apache.cassandra.tools.RepairRunner,3
org.apache.cassandra.tools.SSTableMetadataViewer,3
org.apache.cassandra.tools.nodetool.Sjk$Wrapper,3
org.apache.cassandra.tools.nodetool.stats.TableStatsHolder,3
org.apache.cassandra.transport.Connection,3
org.apache.cassandra.transport.Message$Response,3
org.apache.cassandra.utils.MerkleTree,3
org.apache.cassandra.utils.MerkleTrees,3
org.apache.cassandra.utils.concurrent.Ref$Visitor,3
org.apache.cassandra.audit.AuditLogEntry,2
org.apache.cassandra.audit.AuditLogManager,2
org.apache.cassandra.auth.AuthProperties,2
org.apache.cassandra.auth.AuthenticatedUser,2
org.apache.cassandra.batchlog.BatchlogManager,2
org.apache.cassandra.batchlog.BatchlogManager$ReplayingBatch,2
org.apache.cassandra.config.Config,2
org.apache.cassandra.config.RetrySpec$MaxAttempt,2
org.apache.cassandra.cql3.CIDR,2
org.apache.cassandra.cql3.CQL3Type$Collection,2
org.apache.cassandra.cql3.CQL3Type$Custom,2
org.apache.cassandra.cql3.CQL3Type$Vector,2
org.apache.cassandra.cql3.Cql_Lexer,2
org.apache.cassandra.cql3.Cql_Lexer$DFA57,2
org.apache.cassandra.cql3.Cql_Parser$DFA15,2
org.apache.cassandra.cql3.Cql_Parser$DFA2,2
org.apache.cassandra.cql3.Cql_Parser$DFA26,2
org.apache.cassandra.cql3.Cql_Parser$DFA75,2
org.apache.cassandra.cql3.Cql_Parser$DFA81,2
org.apache.cassandra.cql3.Operation,2
org.apache.cassandra.cql3.Operator,2
org.apache.cassandra.cql3.RowUpdateBuilder,2
org.apache.cassandra.cql3.VariableSpecifications,2
org.apache.cassandra.cql3.constraints.ConstraintFunction,2
org.apache.cassandra.cql3.functions.FunctionCall$Raw,2
org.apache.cassandra.cql3.functions.UDAggregate,2
org.apache.cassandra.cql3.functions.masking.ColumnMask,2
org.apache.cassandra.cql3.functions.types.utils.Bytes,2
org.apache.cassandra.cql3.restrictions.IndexRestrictions,2
org.apache.cassandra.cql3.restrictions.SimpleRestriction,2
org.apache.cassandra.cql3.selection.ResultSetBuilder,2
org.apache.cassandra.cql3.selection.Selectable$WithFunction$Raw,2
org.apache.cassandra.cql3.selection.Selectable$WithMapOrUdt,2
org.apache.cassandra.cql3.selection.Selection,2
org.apache.cassandra.cql3.selection.TermSelector,2
org.apache.cassandra.cql3.statements.CQL3CasRequest,2
org.apache.cassandra.cql3.statements.UpdateStatement$ParsedInsert,2
org.apache.cassandra.cql3.statements.schema.AlterTableStatement,2
org.apache.cassandra.cql3.statements.schema.AlterViewStatement,2
org.apache.cassandra.cql3.statements.schema.AlterViewStatement$Raw,2
org.apache.cassandra.cql3.statements.schema.CopyTableStatement$Raw,2
org.apache.cassandra.cql3.statements.schema.CreateAggregateStatement$Raw,2
org.apache.cassandra.cql3.statements.schema.CreateFunctionStatement,2
org.apache.cassandra.cql3.statements.schema.CreateTableStatement$Raw,2
org.apache.cassandra.cql3.statements.schema.CreateTypeStatement,2
org.apache.cassandra.cql3.statements.schema.DropAggregateStatement$Raw,2
org.apache.cassandra.cql3.statements.schema.DropFunctionStatement$Raw,2
org.apache.cassandra.cql3.terms.Constants$Literal,2
org.apache.cassandra.cql3.terms.MultiElements$DelayedValue,2
org.apache.cassandra.cql3.transactions.ConditionStatement,2
org.apache.cassandra.db.AbstractOnHeapClusteringPrefix,2
org.apache.cassandra.db.ColumnFamilyStore$PaxosRepairHistoryLoader,2
org.apache.cassandra.db.Columns,2
org.apache.cassandra.db.CounterMutation,2
org.apache.cassandra.db.Directories$DataDirectoryCandidate,2
org.apache.cassandra.db.EmptyIterators$EmptyUnfilteredRowIterator,2
org.apache.cassandra.db.ExpirationDateOverflowHandling,2
org.apache.cassandra.db.LivenessInfo$ExpiringLivenessInfo,2
org.apache.cassandra.db.NativeDecoratedKey,2
org.apache.cassandra.db.RangeTombstone,2
org.apache.cassandra.db.RangeTombstoneList,2
org.apache.cassandra.db.RegularAndStaticColumns,2
org.apache.cassandra.db.SerializationHeader,2
org.apache.cassandra.db.SimpleBuilders$PartitionUpdateBuilder,2
org.apache.cassandra.db.aggregation.GroupingState,2
org.apache.cassandra.db.commitlog.AbstractCommitLogService,2
org.apache.cassandra.db.commitlog.AbstractCommitLogService$SyncRunnable,2
org.apache.cassandra.db.commitlog.CommitLog,2
org.apache.cassandra.db.commitlog.CommitLogPosition,2
org.apache.cassandra.db.commitlog.CommitLogSegmentReader$EncryptedSegmenter,2
org.apache.cassandra.db.compaction.AbstractCompactionStrategy,2
org.apache.cassandra.db.compaction.CompactionInfo,2
org.apache.cassandra.db.compaction.CompactionIterator,2
org.apache.cassandra.db.compaction.PendingRepairManager$CleanupTask,2
org.apache.cassandra.db.compaction.ShardManagerDiskAware,2
org.apache.cassandra.db.compaction.TimeWindowCompactionStrategy,2
org.apache.cassandra.db.compaction.unified.UnifiedCompactionTask,2
org.apache.cassandra.db.compression.CompressionDictionaryEventHandler,2
