class,method,field,count
org.apache.cassandra.auth.AuthCache,getMaxEntries,NOVALUE,1
org.apache.cassandra.auth.AuthCache,getUpdateInterval,NOVALUE,1
org.apache.cassandra.auth.AuthCache,getValidity,NOVALUE,1
org.apache.cassandra.auth.AuthKeyspace,NOVALUE,CIDR_GROUPS_CQL,1
org.apache.cassandra.auth.AuthKeyspace,NOVALUE,CIDR_PERMISSIONS_CQL,1
org.apache.cassandra.auth.AuthKeyspace,NOVALUE,IDENTITY_TO_ROLES_CQL,1
org.apache.cassandra.auth.AuthKeyspace,NOVALUE,NETWORK_PERMISSIONS_CQL,1
org.apache.cassandra.auth.AuthKeyspace,NOVALUE,RESOURCE_ROLE_INDEX_CQL,1
org.apache.cassandra.auth.AuthKeyspace,NOVALUE,ROLES_CQL,1
org.apache.cassandra.auth.AuthKeyspace,NOVALUE,ROLE_MEMBERS_CQL,1
org.apache.cassandra.auth.AuthKeyspace,NOVALUE,ROLE_PERMISSIONS_CQL,1
org.apache.cassandra.auth.AuthProperties,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.auth.AuthProperties,NOVALUE,instance,1
org.apache.cassandra.auth.AuthenticatedUser,getMetadata,metadata,1
org.apache.cassandra.auth.AuthenticatedUser,&lt;init&gt;,metadata,1
org.apache.cassandra.auth.CIDRGroupsMappingCache,&lt;init&gt;,cidrGroupsMappingManager,1
org.apache.cassandra.auth.CIDRGroupsMappingIntervalTree,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.auth.CIDRGroupsMappingLoader,&lt;init&gt;,cidrGroupsMappingManager,1
org.apache.cassandra.auth.CassandraCIDRAuthorizer,NOVALUE,cidrGroupsMappingCache,1
org.apache.cassandra.auth.CassandraCIDRAuthorizer,NOVALUE,cidrPermissionsCache,1
org.apache.cassandra.auth.CassandraCIDRAuthorizer,setup,cidrPermissionsCache,1
org.apache.cassandra.auth.CassandraCIDRAuthorizer,setup,cidrGroupsMappingCache,1
org.apache.cassandra.auth.CassandraLoginModule,initialize,subject,1
org.apache.cassandra.auth.CassandraPrincipal,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.auth.CassandraRoleManager,lambda$static$0,NOVALUE,1
org.apache.cassandra.auth.JMXResource,exists,NOVALUE,1
org.apache.cassandra.auth.MutualTlsAuthenticator,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.auth.MutualTlsInternodeAuthenticator,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.auth.MutualTlsWithPasswordFallbackAuthenticator,getSupportedAuthenticationModes,AUTHENTICATION_MODES,1
org.apache.cassandra.auth.PasswordAuthenticator,getCredentialsCache,cache,1
org.apache.cassandra.auth.PasswordAuthenticator,authenticate,NOVALUE,1
org.apache.cassandra.auth.PasswordAuthenticator$CredentialsCache,lambda$new$2,NOVALUE,1
org.apache.cassandra.auth.RoleOptions,getOptions,options,1
org.apache.cassandra.auth.RolesCache,&lt;init&gt;,roleManager,1
org.apache.cassandra.batchlog.Batch,getEncodedMutations,encodedMutations,1
org.apache.cassandra.batchlog.BatchlogManager,setRate,NOVALUE,1
org.apache.cassandra.batchlog.BatchlogManager,processBatchlogEntries,totalBatchesReplayed,1
org.apache.cassandra.batchlog.BatchlogManager$ReplayingBatch,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.cache.AutoSavingCache,&lt;init&gt;,cacheLoader,1
org.apache.cassandra.cache.CaffeineCache,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.cache.ChunkCache,onRemoval,NOVALUE,1
org.apache.cassandra.cache.ChunkCache$CachingRebufferer,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.cache.ChunkCache$Key,equals,NOVALUE,1
org.apache.cassandra.cache.InstrumentingCache,&lt;init&gt;,map,1
org.apache.cassandra.cache.KeyCacheKey,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.cache.RefCountedMemory,equals,NOVALUE,1
org.apache.cassandra.concurrent.SEPExecutor,getMaximumPoolSize,NOVALUE,1
org.apache.cassandra.concurrent.SEPWorker,stopSpinning,prevStopCheck,1
org.apache.cassandra.concurrent.SEPWorker,stopSpinning,soleSpinnerSpinTime,1
org.apache.cassandra.concurrent.SEPWorker,NOVALUE,pool,1
org.apache.cassandra.concurrent.SharedExecutorPool,&lt;init&gt;,threadGroup,1
org.apache.cassandra.concurrent.Stage,unsafeSetExecutor,executor,1
org.apache.cassandra.concurrent.ThreadPoolExecutorBase,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.concurrent.ThreadPoolExecutorBuilder,withThreadGroup,threadGroup,1
org.apache.cassandra.config.CassandraRelevantProperties,lambda$static$3,NOVALUE,1
org.apache.cassandra.config.Config,setClientMode,isClientMode,1
org.apache.cassandra.config.Config,log,NOVALUE,1
org.apache.cassandra.config.Config,&lt;init&gt;,concurrent_validations,1
org.apache.cassandra.config.DataRateSpec,toString,NOVALUE,1
org.apache.cassandra.config.DataRateSpec$DataRateUnit,x,NOVALUE,1
org.apache.cassandra.config.DatabaseDescriptor,applySimpleConfig,counterCacheSizeInMiB,1
org.apache.cassandra.config.DatabaseDescriptor,applySimpleConfig,indexSummaryCapacityInMiB,1
org.apache.cassandra.config.DatabaseDescriptor,applySimpleConfig,keyCacheSizeInMiB,1
org.apache.cassandra.config.DatabaseDescriptor,applySimpleConfig,paxosCacheSizeInMiB,1
org.apache.cassandra.config.DatabaseDescriptor,applySimpleConfig,preparedStatementsCacheSizeInMiB,1
org.apache.cassandra.config.DatabaseDescriptor,clientInitialization,clientInitialized,1
org.apache.cassandra.config.DatabaseDescriptor,daemonInitialization,daemonInitialized,1
org.apache.cassandra.config.DatabaseDescriptor,toolInitialization,toolInitialized,1
org.apache.cassandra.config.DatabaseDescriptor,getReplaceNode,NOVALUE,1
org.apache.cassandra.config.DatabaseDescriptor,setAuthenticator,authenticator,1
org.apache.cassandra.config.DatabaseDescriptor,setAuthorizer,authorizer,1
org.apache.cassandra.config.DatabaseDescriptor,setBroadcastAddress,broadcastAddress,1
org.apache.cassandra.config.DatabaseDescriptor,setBroadcastRpcAddress,broadcastRpcAddress,1
org.apache.cassandra.config.DatabaseDescriptor,setCIDRAuthorizer,cidrAuthorizer,1
org.apache.cassandra.config.DatabaseDescriptor,setInternodeAuthenticator,internodeAuthenticator,1
org.apache.cassandra.config.DatabaseDescriptor,setListenAddress,listenAddress,1
org.apache.cassandra.config.DatabaseDescriptor,setNetworkAuthorizer,networkAuthorizer,1
org.apache.cassandra.config.DatabaseDescriptor,setRoleManager,roleManager,1
org.apache.cassandra.config.DatabaseDescriptor,setSelectedSSTableFormat,selectedSSTableFormat,1
org.apache.cassandra.config.DatabaseDescriptor,NOVALUE,NOVALUE,1
org.apache.cassandra.config.DatabaseDescriptor,getAuthenticator,authenticator,1
org.apache.cassandra.config.DatabaseDescriptor,getAuthorizer,authorizer,1
org.apache.cassandra.config.DatabaseDescriptor,getBroadcastAddress,broadcastAddress,1
org.apache.cassandra.config.DatabaseDescriptor,getBroadcastRpcAddress,broadcastRpcAddress,1
org.apache.cassandra.config.DatabaseDescriptor,getCIDRAuthorizer,cidrAuthorizer,1
org.apache.cassandra.config.DatabaseDescriptor,getGuardrailsConfig,guardrails,1
org.apache.cassandra.config.DatabaseDescriptor,getInternodeAuthenticator,internodeAuthenticator,1
org.apache.cassandra.config.DatabaseDescriptor,getListenAddress,listenAddress,1
org.apache.cassandra.config.DatabaseDescriptor,getNetworkAuthorizer,networkAuthorizer,1
org.apache.cassandra.config.DatabaseDescriptor,getRoleManager,roleManager,1
org.apache.cassandra.config.DatabaseDescriptor,getRpcAddress,rpcAddress,1
