class,method_name,field_name,count
org.apache.maven.execution.DefaultMavenExecutionRequest,setStartTime,startTime,1
org.apache.maven.execution.DefaultMavenExecutionRequest,setToolchains,toolchains,1
org.apache.maven.execution.DefaultMavenExecutionResult,setCanResume,canResume,1
org.apache.maven.execution.DefaultMavenExecutionResult,getExceptions,exceptions,1
org.apache.maven.execution.DefaultMavenExecutionResult,getProject,project,1
org.apache.maven.execution.DefaultMavenExecutionResult,setProject,project,1
org.apache.maven.execution.DefaultMavenExecutionResult,setTopologicallySortedProjects,topologicallySortedProjects,1
org.apache.maven.execution.MavenSession,getAllProjects,allProjects,1
org.apache.maven.execution.MavenSession,getCurrentProject,currentProject,1
org.apache.maven.execution.MavenSession,getExecutionProperties,executionProperties,1
org.apache.maven.execution.MavenSession,getProjectMap,projectMap,1
org.apache.maven.execution.MavenSession,getProjects,projects,1
org.apache.maven.execution.MavenSession,getRequest,request,1
org.apache.maven.execution.MavenSession,getResult,result,1
org.apache.maven.execution.MavenSession,getSettings,settings,1
org.apache.maven.execution.MavenSession,getTopLevelProject,topLevelProject,1
org.apache.maven.execution.MavenSession,&lt;init&gt;,executionProperties,1
org.apache.maven.execution.MavenSession,&lt;init&gt;,settings,1
org.apache.maven.execution.MavenSession,setAllProjects,allProjects,1
org.apache.maven.execution.MavenSession,setCurrentProject,currentProject,1
org.apache.maven.execution.MavenSession,setProjectMap,projectMap,1
org.apache.maven.execution.MavenSession,setProjects,projects,1
org.apache.maven.execution.MojoExecutionEvent,getCause,cause,1
org.apache.maven.execution.MojoExecutionEvent,getExecution,mojoExecution,1
org.apache.maven.execution.MojoExecutionEvent,getMojo,mojo,1
org.apache.maven.execution.MojoExecutionEvent,getProject,project,1
org.apache.maven.execution.MojoExecutionEvent,getSession,session,1
org.apache.maven.execution.MojoExecutionEvent,&lt;init&gt;,cause,1
org.apache.maven.execution.MojoExecutionEvent,&lt;init&gt;,mojo,1
org.apache.maven.execution.MojoExecutionEvent,&lt;init&gt;,mojoExecution,1
org.apache.maven.execution.MojoExecutionEvent,&lt;init&gt;,project,1
org.apache.maven.execution.MojoExecutionEvent,&lt;init&gt;,session,1
org.apache.maven.execution.ProjectExecutionEvent,getCause,cause,1
org.apache.maven.execution.ProjectExecutionEvent,getExecutionPlan,executionPlan,1
org.apache.maven.execution.ProjectExecutionEvent,getProject,project,1
org.apache.maven.execution.ProjectExecutionEvent,getSession,session,1
org.apache.maven.execution.ProjectExecutionEvent,&lt;init&gt;,cause,1
org.apache.maven.execution.ProjectExecutionEvent,&lt;init&gt;,executionPlan,1
org.apache.maven.execution.ProjectExecutionEvent,&lt;init&gt;,project,1
org.apache.maven.execution.ProjectExecutionEvent,&lt;init&gt;,session,1
org.apache.maven.execution.SettingsAdapter,NOVALUE,runtimeInfo,1
org.apache.maven.extension.internal.CoreExports,getExportedPackages,packages,1
org.apache.maven.graph.DefaultGraphBuilder,&lt;init&gt;,buildResumptionDataRepository,1
org.apache.maven.internal.aether.DefaultRepositorySystemSessionFactory,&lt;init&gt;,artifactHandlerManager,1
org.apache.maven.lifecycle.DefaultLifecycleExecutor,&lt;init&gt;,lifecycleExecutionPlanCalculator,1
org.apache.maven.lifecycle.DefaultLifecycles,&lt;init&gt;,lifecyclesMap,1
org.apache.maven.lifecycle.DefaultLifecycles,NOVALUE,STANDARD_LIFECYCLES,1
org.apache.maven.lifecycle.Lifecycle,getDefaultLifecyclePhases,defaultPhases,1
