class,method,field,count
org.apache.phoenix.compile.SequenceManager$SequenceTuple,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.compile.ServerBuildIndexCompiler,&lt;init&gt;,connection,1
org.apache.phoenix.compile.StatementContext,getAggregationManager,aggregates,1
org.apache.phoenix.compile.StatementContext,getBindManager,binds,1
org.apache.phoenix.compile.StatementContext,getCurrentTable,currentTable,1
org.apache.phoenix.compile.StatementContext,getDateFormatTimeZone,dateFormatTimeZone,1
org.apache.phoenix.compile.StatementContext,getExpressionManager,expressions,1
org.apache.phoenix.compile.StatementContext,getReadMetricsQueue,readMetricsQueue,1
org.apache.phoenix.compile.StatementContext,getSequenceManager,sequences,1
org.apache.phoenix.compile.StatementContext,getStatement,statement,1
org.apache.phoenix.compile.StatementContext,getWhereConditionColumns,whereConditionColumns,1
org.apache.phoenix.compile.StatementContext,&lt;init&gt;,binds,1
org.apache.phoenix.compile.StatementContext,&lt;init&gt;,sequences,1
org.apache.phoenix.compile.StatementContext,&lt;init&gt;,statement,1
org.apache.phoenix.compile.StatementContext,setCurrentTable,currentTable,1
org.apache.phoenix.compile.SubqueryRewriter$JoinConditionExtractor,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.compile.SubselectRewriter,flatten,tableAlias,1
org.apache.phoenix.compile.TraceQueryPlan,getContext,context,1
org.apache.phoenix.compile.TraceQueryPlan,&lt;init&gt;,stmt,1
org.apache.phoenix.compile.TupleProjectionCompiler,createProjectedTable,NOVALUE,1
org.apache.phoenix.compile.UpsertCompiler,&lt;init&gt;,statement,1
org.apache.phoenix.compile.WhereOptimizer$KeyExpressionVisitor,&lt;init&gt;,context,1
org.apache.phoenix.compile.WhereOptimizer$KeyExpressionVisitor$BaseKeyPart,getExtractNodes,nodes,1
org.apache.phoenix.compile.WhereOptimizer$KeyExpressionVisitor$MultiKeySlot,getSlots,childSlots,1
org.apache.phoenix.coprocessor.AddColumnMutator,validateAndAddMetadata,NOVALUE,1
org.apache.phoenix.coprocessor.BaseScannerRegionObserver,NOVALUE,REPLAY_INDEX_REBUILD_WRITES,1
