class,method,field,count
org.apache.cassandra.cql3.Cql_Lexer$DFA24,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Lexer$DFA26,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Lexer$DFA26,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Lexer$DFA26,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Lexer$DFA30,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Lexer$DFA30,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Lexer$DFA30,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Lexer$DFA32,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Lexer$DFA32,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Lexer$DFA32,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Lexer$DFA39,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Lexer$DFA39,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Lexer$DFA39,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Lexer$DFA46,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Lexer$DFA46,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser,NOVALUE,reservedTypeNames,1
org.apache.cassandra.cql3.Cql_Parser,permission,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,shorthandColumnOperation,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,alterTableStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,batchStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,batchStatementObjective,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,cfName,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,cident,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,collectionLiteral,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,collection_type,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,columnCondition,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,comparatorType,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,constant,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,containsOperator,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,cqlStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createAggregateStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createIndexStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createKeyspaceStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createMaterializedViewStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createRoleStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createTableStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createTriggerStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createTypeStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,deleteOp,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,deleteStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,describeStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropAggregateStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropFunctionStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropIndexStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropKeyspaceStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropMaterializedViewStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropRoleStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropTableStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropTriggerStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropTypeStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,fident,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,function,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,idxName,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,inMarker,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,inMarkerForTuple,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,indexIdent,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,insertStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,intValue,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,isStaticColumn,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,jsonInsertStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,jsonValue,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,ksName,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,listPermissionsStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,listRolesStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,markerForTuple,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,native_type,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,normalInsertStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,orderByClause,NOVALUE,1
